X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,FID
-79.3746338,43.6902046,130954,GO-2016646373,2016-04-15T04:00:00.000Z,2016-04-16T04:00:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,April,16,107,Saturday  ,6,2016,April,15,106,Friday    ,18,Auto Theft,D53,98,Rosedale-Moore Park (98),43.6902046,-79.3746338,13001
-79.5595551,43.624073,130955,GO-2016676364,2016-04-20T04:00:00.000Z,2016-04-20T04:00:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,April,20,111,Wednesday ,20,2016,April,20,111,Wednesday ,18,Auto Theft,D22,14,Islington-City Centre West (14),43.624073,-79.5595551,13002
-79.549537700000016,43.7276535,130956,GO-2016671810,2016-04-20T04:00:00.000Z,2016-04-20T04:00:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,April,20,111,Wednesday ,6,2016,April,20,111,Wednesday ,1,Auto Theft,D23,5,Elms-Old Rexdale (5),43.7276535,-79.5495377,13003
-79.5227661,43.693252599999987,130957,GO-2016684643,2016-04-21T04:00:00.000Z,2016-04-22T04:00:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,April,22,113,Friday    ,6,2016,April,21,112,Thursday  ,21,Auto Theft,D23,8,Humber Heights-Westmount (8),43.6932526,-79.5227661,13004
-79.5227661,43.693252599999987,130958,GO-2016684643,2016-04-21T04:00:00.000Z,2016-04-22T04:00:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,April,22,113,Friday    ,6,2016,April,21,112,Thursday  ,21,Auto Theft,D23,8,Humber Heights-Westmount (8),43.6932526,-79.5227661,13005
-79.562675499999983,43.6123085,130959,GO-2016695899,2016-04-23T04:00:00.000Z,2016-04-23T04:00:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,April,23,114,Saturday  ,22,2016,April,23,114,Saturday  ,21,Auto Theft,D22,14,Islington-City Centre West (14),43.6123085,-79.5626755,13006
-79.4513321,43.7836876,130960,GO-2016678542,2016-04-21T04:00:00.000Z,2016-04-21T04:00:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,April,21,112,Thursday  ,8,2016,April,21,112,Thursday  ,0,Auto Theft,D32,35,Westminster-Branson (35),43.7836876,-79.4513321,13007
-79.5240707,43.7242126,130961,GO-20151935983,2015-11-10T05:00:00.000Z,2015-11-11T05:00:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,November,11,315,Wednesday ,6,2015,November,10,314,Tuesday   ,15,Auto Theft,D31,26,Downsview-Roding-CFB (26),43.7242126,-79.5240707,13008
-79.5132065,43.7255173,130962,GO-2016168152,2016-01-28T05:00:00.000Z,2016-01-28T05:00:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,January,28,28,Thursday  ,22,2016,January,28,28,Thursday  ,20,Auto Theft,D31,26,Downsview-Roding-CFB (26),43.7255173,-79.5132065,13009
-79.3288803,43.8061295,130963,GO-2016441319,2016-03-13T05:00:00.000Z,2016-03-14T04:00:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,March,14,74,Monday    ,8,2016,March,13,73,Sunday    ,23,Auto Theft,D42,116,Steeles (116),43.8061295,-79.3288803,13010
-79.3538818,43.7793694,130964,GO-2016749000,2016-04-29T04:00:00.000Z,2016-05-02T04:00:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2016,May,2,123,Monday    ,9,2016,April,29,120,Friday    ,15,Auto Theft,D33,47,Don Valley Village (47),43.7793694,-79.3538818,13011
-79.5051422,43.6569328,130965,GO-2016768547,2016-05-04T04:00:00.000Z,2016-05-05T04:00:00.000Z,House,2135,210,Theft Of Motor Vehicle,2016,May,5,126,Thursday  ,8,2016,May,4,125,Wednesday ,19,Auto Theft,D22,15,Kingsway South (15),43.6569328,-79.5051422,13012
